,station_no,date,discharge,water_level,year,month,day
89352,1,1965-01-01,1240.0,200.0,1965,1,1
89353,1,1965-01-02,1680.0,195.0,1965,1,2
89354,1,1965-01-03,1820.0,196.0,1965,1,3
89355,1,1965-01-04,1790.0,171.0,1965,1,4
89356,1,1965-01-05,1800.0,161.0,1965,1,5
89357,1,1965-01-06,1630.0,163.0,1965,1,6
89358,1,1965-01-07,1560.0,197.0,1965,1,7
89359,1,1965-01-08,1580.0,283.0,1965,1,8
89360,1,1965-01-09,1800.0,409.0,1965,1,9
89361,1,1965-01-10,2430.0,459.0,1965,1,10
89362,1,1965-01-11,3480.0,421.0,1965,1,11
89363,1,1965-01-12,3960.0,354.0,1965,1,12
89364,1,1965-01-13,3590.0,306.0,1965,1,13
89365,1,1965-01-14,3000.0,280.0,1965,1,14
89366,1,1965-01-15,2610.0,268.0,1965,1,15
89367,1,1965-01-16,2410.0,336.0,1965,1,16
89368,1,1965-01-17,2320.0,454.0,1965,1,17
89369,1,1965-01-18,2850.0,454.0,1965,1,18
89370,1,1965-01-19,3910.0,442.0,1965,1,19
89371,1,1965-01-20,3910.0,383.0,1965,1,20
89372,1,1965-01-21,3790.0,329.0,1965,1,21
89373,1,1965-01-22,3250.0,292.0,1965,1,22
89374,1,1965-01-23,2790.0,277.0,1965,1,23
89375,1,1965-01-24,2500.0,269.0,1965,1,24
89376,1,1965-01-25,2380.0,255.0,1965,1,25
89377,1,1965-01-26,2320.0,249.0,1965,1,26
89378,1,1965-01-27,2220.0,238.0,1965,1,27
89379,1,1965-01-28,2170.0,223.0,1965,1,28
89380,1,1965-01-29,2100.0,244.0,1965,1,29
89381,1,1965-01-30,1990.0,357.0,1965,1,30
89382,1,1965-01-31,2140.0,432.0,1965,1,31
89383,1,1965-02-01,3020.0,432.0,1965,2,1
89384,1,1965-02-02,3700.0,399.0,1965,2,2
89385,1,1965-02-03,3700.0,363.0,1965,2,3
89386,1,1965-02-04,3390.0,331.0,1965,2,4
89387,1,1965-02-05,3070.0,309.0,1965,2,5
89388,1,1965-02-06,2810.0,288.0,1965,2,6
89389,1,1965-02-07,2630.0,270.0,1965,2,7
89390,1,1965-02-08,2470.0,252.0,1965,2,8
89391,1,1965-02-09,2330.0,235.0,1965,2,9
89392,1,1965-02-10,2200.0,214.0,1965,2,10
89393,1,1965-02-11,2070.0,203.0,1965,2,11
89394,1,1965-02-12,1920.0,205.0,1965,2,12
89395,1,1965-02-13,1850.0,222.0,1965,2,13
89396,1,1965-02-14,1860.0,222.0,1965,2,14
89397,1,1965-02-15,1980.0,218.0,1965,2,15
89398,1,1965-02-16,1980.0,199.0,1965,2,16
