station_no,date,discharge,water_level,STATIONS_ID,RS,RSF,SH_TAG,NSH_TAG
6335060,1965-01-01,1240.0,110.0,2968,1.2,1,0,0
6335060,1965-01-02,1680.0,178.0,2968,0.3,1,0,0
6335060,1965-01-03,1820.0,200.0,2968,0.1,1,0,0
6335060,1965-01-04,1790.0,195.0,2968,0.0,7,0,0
6335060,1965-01-05,1800.0,196.0,2968,1.2,1,0,0
6335060,1965-01-06,1630.0,171.0,2968,7.8,1,0,0
6335060,1965-01-07,1560.0,161.0,2968,14.9,1,0,0
6335060,1965-01-08,1580.0,163.0,2968,9.8,1,0,0
6335060,1965-01-09,1800.0,197.0,2968,8.2,1,0,0
6335060,1965-01-10,2430.0,283.0,2968,7.1,1,0,0
6335060,1965-01-11,3480.0,409.0,2968,0.0,0,0,0
6335060,1965-01-12,3960.0,459.0,2968,0.1,1,0,0
6335060,1965-01-13,3590.0,421.0,2968,1.0,1,0,0
6335060,1965-01-14,3000.0,354.0,2968,0.5,1,0,0
6335060,1965-01-15,2610.0,306.0,2968,4.1,1,0,0
6335060,1965-01-16,2410.0,280.0,2968,4.5,1,0,0
6335060,1965-01-17,2320.0,268.0,2968,5.1,1,0,0
6335060,1965-01-18,2850.0,336.0,2968,3.4,1,0,0
6335060,1965-01-19,3910.0,454.0,2968,0.2,8,0,0
6335060,1965-01-20,3910.0,454.0,2968,0.0,0,0,0
6335060,1965-01-21,3790.0,442.0,2968,0.4,7,0,0
6335060,1965-01-22,3250.0,383.0,2968,1.0,8,1,1
6335060,1965-01-23,2790.0,329.0,2968,0.1,1,0,0
6335060,1965-01-24,2500.0,292.0,2968,3.4,1,0,0
6335060,1965-01-25,2380.0,277.0,2968,0.5,1,0,0
6335060,1965-01-26,2320.0,269.0,2968,1.0,8,0,0
6335060,1965-01-27,2220.0,255.0,2968,0.0,1,0,0
6335060,1965-01-28,2170.0,249.0,2968,0.0,1,0,0
6335060,1965-01-29,2100.0,238.0,2968,3.4,1,0,0
6335060,1965-01-30,1990.0,223.0,2968,1.2,1,0,0
6335060,1965-01-31,2140.0,244.0,2968,0.0,0,0,0
6335060,1965-02-01,3020.0,357.0,2968,0.5,8,0,0
6335060,1965-02-02,3700.0,432.0,2968,0.0,0,0,0
6335060,1965-02-03,3700.0,432.0,2968,1.8,8,0,0
6335060,1965-02-04,3390.0,399.0,2968,1.2,1,0,0
6335060,1965-02-05,3070.0,363.0,2968,0.6,1,0,0
6335060,1965-02-06,2810.0,331.0,2968,0.0,1,0,0
6335060,1965-02-07,2630.0,309.0,2968,0.0,1,0,0
6335060,1965-02-08,2470.0,288.0,2968,0.0,0,0,0
6335060,1965-02-09,2330.0,270.0,2968,0.0,0,0,0
