,water_level
1965-01-01,219.0
1965-01-02,272.0
1965-01-03,315.0
1965-01-04,304.0
1965-01-05,304.0
1965-01-06,290.0
1965-01-07,272.0
1965-01-08,272.0
1965-01-09,299.0
1965-01-10,370.0
1965-01-11,484.0
1965-01-12,556.0
1965-01-13,539.0
1965-01-14,481.0
1965-01-15,426.0
1965-01-16,390.0
1965-01-17,375.0
1965-01-18,410.0
1965-01-19,533.0
1965-01-20,556.0
1965-01-21,549.0
1965-01-22,501.0
1965-01-23,448.0
1965-01-24,405.0
1965-01-25,382.0
1965-01-26,374.0
1965-01-27,368.0
1965-01-28,359.0
1965-01-29,353.0
1965-01-30,334.0
1965-01-31,331.0
1965-02-01,416.0
1965-02-02,516.0
1965-02-03,536.0
1965-02-04,506.0
1965-02-05,473.0
1965-02-06,441.0
1965-02-07,416.0
1965-02-08,397.0
1965-02-09,378.0
1965-02-10,362.0
1965-02-11,337.0
1965-02-12,326.0
1965-02-13,311.0
1965-02-14,308.0
1965-02-15,323.0
1965-02-16,329.0
1965-02-17,326.0
1965-02-18,312.0
1965-02-19,302.0
1965-02-20,291.0
1965-02-21,282.0
1965-02-22,269.0
1965-02-23,260.0
1965-02-24,253.0
1965-02-25,244.0
1965-02-26,240.0
1965-02-27,236.0
1965-02-28,228.0
1965-03-01,226.0
1965-03-02,223.0
1965-03-03,221.0
1965-03-04,221.0
1965-03-05,224.0
1965-03-06,223.0
1965-03-07,215.0
1965-03-08,209.0
1965-03-09,206.0
1965-03-10,204.0
1965-03-11,203.0
1965-03-12,202.0
1965-03-13,206.0
1965-03-14,208.0
1965-03-15,218.0
1965-03-16,251.0
1965-03-17,309.0
1965-03-18,395.0
1965-03-19,479.0
1965-03-20,512.0
1965-03-21,508.0
1965-03-22,508.0
1965-03-23,540.0
1965-03-24,594.0
1965-03-25,628.0
1965-03-26,654.0
1965-03-27,691.0
1965-03-28,732.0
1965-03-29,737.0
1965-03-30,705.0
1965-03-31,664.0
1965-04-01,618.0
1965-04-02,570.0
1965-04-03,526.0
1965-04-04,491.0
1965-04-05,461.0
1965-04-06,433.0
1965-04-07,420.0
1965-04-08,412.0
1965-04-09,404.0
1965-04-10,392.0
1965-04-11,383.0
1965-04-12,375.0
1965-04-13,369.0
1965-04-14,374.0
1965-04-15,384.0
1965-04-16,381.0
1965-04-17,391.84346842366216
1965-04-18,397.3511049361542
1965-04-19,401.5704427035471
1965-04-20,405.08866207086595
1965-04-21,408.23081734183893
1965-04-22,411.1756750542919
1965-04-23,414.0212219111977
1965-04-24,416.8210901530067
1965-04-25,419.6046321699584
1965-04-26,422.3879314592613
1965-04-27,425.1798267348518
1965-04-28,427.98520318726736
1965-04-29,430.8067893202912
1965-04-30,433.6461375268381
1965-05-01,436.504159098032
1965-05-02,439.3814160956756
1965-05-03,442.2782805742182
1965-05-04,554.0
1965-05-05,526.0
1965-05-06,516.0
1965-05-07,532.0
1965-05-08,566.0
1965-05-09,599.0
1965-05-10,616.0
1965-05-11,610.0
1965-05-12,587.0
1965-05-13,558.0
1965-05-14,537.0
1965-05-15,514.0
1965-05-16,486.0
1965-05-17,464.0
1965-05-18,448.0
1965-05-19,441.0
1965-05-20,441.0
1965-05-21,458.0
1965-05-22,499.0
1965-05-23,514.0
1965-05-24,520.0
1965-05-25,523.0
1965-05-26,511.0
1965-05-27,477.0
1965-05-28,463.0
1965-05-29,462.0
1965-05-30,467.0
1965-05-31,478.0
1965-06-01,499.0
1965-06-02,511.0
1965-06-03,526.0
1965-06-04,537.0
1965-06-05,529.0
1965-06-06,512.0
1965-06-07,503.0
1965-06-08,491.0
1965-06-09,498.0
1965-06-10,528.0
1965-06-11,595.0
1965-06-12,642.0
1965-06-13,663.0
1965-06-14,644.0
1965-06-15,639.0
1965-06-16,640.0
1965-06-17,636.0
1965-06-18,622.0
1965-06-19,623.0
1965-06-20,616.0
1965-06-21,603.0
1965-06-22,587.0
1965-06-23,564.0
1965-06-24,552.0
1965-06-25,545.0
1965-06-26,534.0
1965-06-27,522.0
1965-06-28,506.0
1965-06-29,493.0
1965-06-30,482.0
1965-07-01,481.0
1965-07-02,479.0
1965-07-03,480.0
1965-07-04,483.0
1965-07-05,481.0
1965-07-06,475.0
1965-07-07,467.0
1965-07-08,462.0
1965-07-09,456.0
1965-07-10,457.0
1965-07-11,457.0
1965-07-12,461.0
1965-07-13,475.0
1965-07-14,475.0
1965-07-15,463.0
1965-07-16,461.0
1965-07-17,473.0
1965-07-18,509.0
1965-07-19,528.0
1965-07-20,513.0
1965-07-21,505.0
1965-07-22,510.0
1965-07-23,519.0
1965-07-24,504.0
1965-07-25,487.0
1965-07-26,468.0
1965-07-27,448.0
1965-07-28,434.0
1965-07-29,434.0
1965-07-30,436.0
1965-07-31,442.0
1965-08-01,437.3143140418652
1965-08-02,438.5154239268738
1965-08-03,439.6637188994685
1965-08-04,440.78722682056156
1965-08-05,441.8989574795982
1965-08-06,443.00495038851795
1965-08-07,444.1080097990618
1965-08-08,445.2094382734668
1965-08-09,446.3098413329312
1965-08-10,447.40950094714634
1965-08-11,448.5085488965659
1965-08-12,449.6070472422166
1965-08-13,450.7050256776224
1965-08-14,451.80249886662784
1965-08-15,452.8994744912191
1965-08-16,453.99595698716996
1965-08-17,455.0919492780871
1965-08-18,331.0
1965-08-19,332.0
1965-08-20,334.0
1965-08-21,319.0
1965-08-22,313.0
1965-08-23,309.0
1965-08-24,311.0
1965-08-25,317.0
1965-08-26,332.0
1965-08-27,349.0
1965-08-28,347.0
1965-08-29,346.0
